District,Member,Party,Party.1,Prior experience,Education,Assumed office,Residence,Born[2]
Texas 13,Ronny Jackson,,Republican,Chief Medical Advisor to the PresidentPhysician to the PresidentUnited States Navy Rear admiral,Texas A&M University (BS)University of Texas Medical Branch (MD),2021,Amarillo,(age 55)
Texas 14,Randy Weber,,Republican,Texas House of RepresentativesPearland City Council,Alvin Community CollegeUniversity of Houston–Clear Lake (BS),2013,Friendswood[82],(age 69)
Texas 15,Vicente Gonzalez,,Democratic,Food processing executiveTexas State Board of Education,Embry–Riddle Aeronautical University (BA)Texas Wesleyan University (JD),2017,McAllen,(age 54)
Texas 16,Veronica Escobar,,Democratic,El Paso County CommissionEl Paso County Judge,"University of Texas, El Paso (BA)New York University (MA)",2019,El Paso,(age 52)
Texas 17,Pete Sessions,,Republican,U.S. House,Southwestern University (BS),2021,Waco,(age 67)
Texas 18,Sheila Jackson Lee,,Democratic,Houston City Council Municipal judge,Yale University (BA) University of Virginia (JD),1995,Houston,(age 72)
Texas 19,Jodey Arrington,,Republican,EducatorPublic administratorWhite House aide,"Texas Tech University (BA, MPA)",2017,Lubbock,(age 50)
Texas 20,Joaquin Castro,,Democratic,Texas House of Representatives,Stanford University (BA)Harvard University (JD),2013,San Antonio,(age 47)
Texas 21,Chip Roy,,Republican,First Assistant Attorney General of Texas,"University of Virginia (BS, MS)University of Texas, Austin (JD)",2019,Austin,(age 49)
Texas 22,Troy Nehls,,Republican,Sheriff of Fort Bend County,Liberty University (BA)University of Houston–Downtown (MA),2021,Richmond,(age 54)
Texas 23,Tony Gonzales,,Republican,United States Navy Master Chief Petty Officer,Chaminade University (AA)Excelsior College (BS)American Public University (MA),2021,San Antonio,(age 41)
Texas 24,Beth Van Duyne,,Republican,Mayor of Irving,Cornell University (BA),2021,Irving,(age 51)
Texas 25,Roger Williams,,Republican,Secretary of State of Texas,Texas Christian University (BA),2013,Austin[83],(age 72)
