title,url,original_price,discounted_price,image_url
WANGSIT HOTS SBMPTN SAINTEK 2023,http://www.bukabuku.com/browses/product/2010001199014/wangsit-hots-sbmptn-saintek-2023.html,Rp. 250.000,Rp. 200.000,http://img.bukabuku.net/product_thumb/0/3/03391b9df7789a75340a38128243df2a.jpg
WANGSIT HOTS SBMPTN SOSHUM 2023,http://www.bukabuku.com/browses/product/2010001199007/wangsit-hots-sbmptn-soshum-2023.html,Rp. 250.000,Rp. 200.000,http://img.bukabuku.net/product_thumb/c/9/c99e693694030798a1e2afa62f4c9216.jpg
Bite The Bullet,http://www.bukabuku.com/browses/product/2010001200659/bite-the-bullet.html,Rp. 100.000,Rp. 95.000,http://img.bukabuku.net/product_thumb/5/b/5b95ae1c6cf0e1e321c289fdd0feea88.jpg
Zellyn And The Sparkling,http://www.bukabuku.com/browses/product/9786239710361/zellyn-and-the-sparkling.html,Rp. 95.000,Rp. 76.000,http://img.bukabuku.net/product_thumb/e/6/e67a29fcccdd0c4bd214914d49392aaa.jpg
Di Balik Pintu No. 18,http://www.bukabuku.com/browses/product/9786233100649/di-balik-pintu-no-18.html,Rp. 89.500,Rp. 71.600,http://img.bukabuku.net/product_thumb/d/8/d83ca1f748193012fa56d6ffe72f65e2.jpg
Buku Aktivitas & Stiker - Dunia Kendaraan,http://www.bukabuku.com/browses/product/9786230307751/buku-aktivitas-stiker--dunia-kendaraan.html,Rp. 65.000,Rp. 52.000,http://img.bukabuku.net/product_thumb/c/d/cdf21ca9a81c24a053d0ead779ccb904.jpg
Why? Game Science - Sains Permainan,http://www.bukabuku.com/browses/product/9786230033520/why-game-science--sains-permainan.html,Rp. 110.000,Rp. 88.000,http://img.bukabuku.net/product_thumb/1/d/1d73efb370776f8a166c01c588a35150.jpg
Classics: Hidup-Mati di Burma (Burmese Days),http://www.bukabuku.com/browses/product/9786020659800/classics-hidup-mati-di-burma-(burmese-days).html,Rp. 99.000,Rp. 79.200,http://img.bukabuku.net/product_thumb/1/3/13040d95bf906efc173161b01400c294.jpg
Buku Aku Pintar Mewarnai,http://www.bukabuku.com/browses/product/9786230408984/buku-aku-pintar-mewarnai.html,Rp. 54.000,Rp. 43.200,http://img.bukabuku.net/product_thumb/e/f/ef224ae85bea15e88cc4a03f60a12284.jpg
Buku Aktivitas & Stiker - Dunia Hewan,http://www.bukabuku.com/browses/product/9786230307744/buku-aktivitas-stiker--dunia-hewan.html,Rp. 65.000,Rp. 52.000,http://img.bukabuku.net/product_thumb/0/1/0149a3bd0083be548cede3a2a82b5905.jpg
